nodename,cellname,pscrambcode,uarfcndownlink,lon,lat,azimuth
HGLY11,HGLY11D,77,10587,105.68373,105.68373,40
HGLY11,HGLY11E,85,10587,105.68373,105.68373,180
HGLY11,HGLY11F,93,10587,105.68373,105.68373,300
HGLY11,HGLY11G,77,10612,105.68373,105.68373,40
HGLY11,HGLY11H,85,10612,105.68373,105.68373,180
HGLY11,HGLY11I,93,10612,105.68373,105.68373,300
HGVY10,HGVY10B,202,10562,105.50504,105.50504,150
HGVY10,HGVY10C,210,10562,105.50504,105.50504,300
HGVY10,HGVY10D,194,10587,105.50504,105.50504,0
HGVY10,HGVY10E,202,10587,105.50504,105.50504,150
HGVY10,HGVY10F,210,10587,105.50504,105.50504,300
HGVY10,HGVY10G,194,10612,105.50504,105.50504,0
HGVY10,HGVY10H,202,10612,105.50504,105.50504,150
HGVY10,HGVY10I,210,10612,105.50504,105.50504,300
HGVY11,HGVY11B,226,10562,105.55989,105.55989,130
HGVY11,HGVY11C,234,10562,105.55989,105.55989,230
HGVY11,HGVY11D,218,10587,105.55989,105.55989,40
HGVY11,HGVY11E,226,10587,105.55989,105.55989,130
HGVY11,HGVY11F,234,10587,105.55989,105.55989,230
HGVY11,HGVY11G,218,10612,105.55989,105.55989,40
HGVY11,HGVY11H,226,10612,105.55989,105.55989,130
HGVY11,HGVY11I,234,10612,105.55989,105.55989,230
HGVY12,HGVY12B,250,10562,105.53532,105.53532,130
HGVY12,HGVY12C,258,10562,105.53532,105.53532,220
HGVY12,HGVY12D,242,10587,105.53532,105.53532,40
HGVY12,HGVY12E,250,10587,105.53532,105.53532,130
HGVY12,HGVY12F,258,10587,105.53532,105.53532,220
HGVY12,HGVY12G,242,10612,105.53532,105.53532,40
HGVY12,HGVY12H,250,10612,105.53532,105.53532,130
HGVY12,HGVY12I,258,10612,105.53532,105.53532,220
HGVY18,HGVY18D,266,10587,105.54664,105.54664,40
HGVY18,HGVY18E,274,10587,105.54664,105.54664,200
HGVY18,HGVY18F,282,10587,105.54664,105.54664,300
HGVY18,HGVY18G,266,10612,105.54664,105.54664,40
HGVY18,HGVY18H,274,10612,105.54664,105.54664,200
HGVY18,HGVY18I,282,10612,105.54664,105.54664,300
HGVY20,HGVY20B,298,10562,105.53368,105.53368,140
HGVY20,HGVY20C,306,10562,105.53368,105.53368,240
HGVY20,HGVY20D,290,10587,105.53368,105.53368,60
HGVY20,HGVY20E,298,10587,105.53368,105.53368,140
HGVY20,HGVY20F,306,10587,105.53368,105.53368,240
HGVY20,HGVY20G,290,10612,105.53368,105.53368,60
HGVY20,HGVY20H,298,10612,105.53368,105.53368,140
HGVY20,HGVY20I,306,10612,105.53368,105.53368,240
HGVY21,HGVY21D,314,10587,105.53154,105.53154,30
HGVY21,HGVY21E,322,10587,105.53154,105.53154,140
HGVY21,HGVY21F,330,10587,105.53154,105.53154,250
HGVY21,HGVY21G,314,10612,105.53154,105.53154,30
HGVY21,HGVY21H,322,10612,105.53154,105.53154,140
HGVY21,HGVY21I,330,10612,105.53154,105.53154,250
HGVY26,HGVY26D,338,10587,105.53379,105.53379,30
HGVY26,HGVY26E,346,10587,105.53379,105.53379,150
HGVY26,HGVY26F,354,10587,105.53379,105.53379,270
HGVY26,HGVY26G,338,10612,105.53379,105.53379,30
HGVY26,HGVY26H,346,10612,105.53379,105.53379,150
HGVY26,HGVY26I,354,10612,105.53379,105.53379,270
HGVY27,HGVY27B,370,10562,105.55714,105.55714,150
HGVY27,HGVY27C,378,10562,105.55714,105.55714,270
HGVY27,HGVY27D,362,10587,105.55714,105.55714,30
HGVY27,HGVY27E,370,10587,105.55714,105.55714,150
HGVY27,HGVY27F,378,10587,105.55714,105.55714,270
HGVY27,HGVY27G,362,10612,105.55714,105.55714,30
HGVY27,HGVY27H,370,10612,105.55714,105.55714,150
HGVY27,HGVY27I,378,10612,105.55714,105.55714,270
HGLM03,HGLM03D,1,10587,105.53431,105.53431,30
HGLM03,HGLM03E,9,10587,105.53431,105.53431,150
HGLM03,HGLM03F,17,10587,105.53431,105.53431,270
HGLM03,HGLM03G,1,10612,105.53431,105.53431,30
HGLM03,HGLM03H,9,10612,105.53431,105.53431,150
HGLM03,HGLM03I,17,10612,105.53431,105.53431,270
HGLM07,HGLM07D,25,10587,105.46231,105.46231,110
HGLM07,HGLM07E,33,10587,105.46231,105.46231,200
HGLM07,HGLM07F,41,10587,105.46231,105.46231,290
HGLM07,HGLM07G,25,10612,105.46231,105.46231,110
HGLM07,HGLM07H,33,10612,105.46231,105.46231,200
HGLM07,HGLM07I,41,10612,105.46231,105.46231,290
HGCA01,HGCA01A,3,10562,105.72427,105.72427,30
HGCA01,HGCA01B,11,10562,105.72427,105.72427,150
HGCA01,HGCA01C,19,10562,105.72427,105.72427,270
HGCA01,HGCA01D,3,10587,105.72427,105.72427,30
HGCA01,HGCA01E,11,10587,105.72427,105.72427,150
HGCA01,HGCA01F,19,10587,105.72427,105.72427,270
HGCA01,HGCA01G,3,10612,105.72427,105.72427,30
HGCA01,HGCA01H,11,10612,105.72427,105.72427,150
HGCA01,HGCA01I,19,10612,105.72427,105.72427,270
HGLM08,HGLM08D,49,10587,105.52658,105.52658,40
HGLM08,HGLM08E,57,10587,105.52658,105.52658,180
HGLM08,HGLM08F,65,10587,105.52658,105.52658,270
HGLM08,HGLM08G,49,10612,105.52658,105.52658,40
HGLM08,HGLM08H,57,10612,105.52658,105.52658,180
HGLM08,HGLM08I,65,10612,105.52658,105.52658,270
HGLM09,HGLM09D,73,10587,105.5406,105.5406,30
HGLM09,HGLM09E,81,10587,105.5406,105.5406,150
HGLM09,HGLM09F,89,10587,105.5406,105.5406,270
HGLM09,HGLM09G,73,10612,105.5406,105.5406,30
HGLM09,HGLM09H,81,10612,105.5406,105.5406,150
HGLM09,HGLM09I,89,10612,105.5406,105.5406,270
HGLM10,HGLM10D,97,10587,105.4652,105.4652,0
HGLM10,HGLM10E,105,10587,105.4652,105.4652,150
HGLM10,HGLM10F,113,10587,105.4652,105.4652,310
HGLM10,HGLM10G,97,10612,105.4652,105.4652,0
HGLM10,HGLM10H,105,10612,105.4652,105.4652,150
HGLM10,HGLM10I,113,10612,105.4652,105.4652,310
HGLM23,HGLM23D,121,10587,105.4321,105.4321,0
HGLM23,HGLM23E,129,10587,105.4321,105.4321,110
HGLM23,HGLM23F,137,10587,105.4321,105.4321,230
HGLM23,HGLM23G,121,10612,105.4321,105.4321,0
HGLM23,HGLM23H,129,10612,105.4321,105.4321,110
HGLM23,HGLM23I,137,10612,105.4321,105.4321,230
HGLM24,HGLM24D,145,10587,105.51796,105.51796,0
HGLM24,HGLM24E,153,10587,105.51796,105.51796,190
HGLM24,HGLM24F,161,10587,105.51796,105.51796,270
HGLM24,HGLM24G,145,10612,105.51796,105.51796,0
HGLM24,HGLM24H,153,10612,105.51796,105.51796,190
HGLM24,HGLM24I,161,10612,105.51796,105.51796,270
HGLM27,HGLM27D,169,10587,105.53008,105.53008,10
HGLM27,HGLM27E,177,10587,105.53008,105.53008,180
HGLM27,HGLM27F,185,10587,105.53008,105.53008,270
HGLM27,HGLM27G,169,10612,105.53008,105.53008,10
HGLM27,HGLM27H,177,10612,105.53008,105.53008,180
HGLM27,HGLM27I,185,10612,105.53008,105.53008,270
HGLM33,HGLM33D,193,10587,105.49345,105.49345,30
HGLM33,HGLM33E,201,10587,105.49345,105.49345,150
HGLM33,HGLM33F,209,10587,105.49345,105.49345,270
HGLM33,HGLM33G,193,10612,105.49345,105.49345,30
HGLM33,HGLM33H,201,10612,105.49345,105.49345,150
HGLM33,HGLM33I,209,10612,105.49345,105.49345,270
HGLY01,HGLY01D,5,10587,105.572,105.572,50
HGLY01,HGLY01E,13,10587,105.572,105.572,160
HGLY01,HGLY01F,21,10587,105.572,105.572,230
HGLY01,HGLY01G,5,10612,105.572,105.572,50
HGLY01,HGLY01H,13,10612,105.572,105.572,160
HGLY01,HGLY01I,21,10612,105.572,105.572,230
HGLY02,HGLY02A,29,10562,105.57187,105.57187,30
HGLY02,HGLY02B,37,10562,105.57187,105.57187,170
HGLY02,HGLY02C,45,10562,105.57187,105.57187,250
HGLY02,HGLY02D,29,10587,105.57187,105.57187,30
HGLY02,HGLY02E,37,10587,105.57187,105.57187,170
HGLY02,HGLY02F,45,10587,105.57187,105.57187,250
HGLY02,HGLY02G,29,10612,105.57187,105.57187,30
HGLY02,HGLY02H,37,10612,105.57187,105.57187,170
HGLY02,HGLY02I,45,10612,105.57187,105.57187,250
