latitude,longitude,psc,uarfcn
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,260,10587
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,260,10587
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,473,10562
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,260,10612
9.9794452,105.8221926,260,10587
9.9794165,105.822217,260,10587
9.9793711,105.8222575,260,10587
9.9793248,105.822302,260,10587
9.9792732,105.8223526,260,10587
9.979215,105.8224094,260,10612
9.9791518,105.82247,260,10612
9.9790779,105.8225406,260,10587
9.9789978,105.8226187,260,10587
9.9789204,105.8226958,260,10587
9.9788527,105.8227664,260,10612
9.9787815,105.8228422,260,10587
9.9786953,105.8229283,260,10587
9.978594,105.8230219,260,10587
9.9784833,105.8231235,260,10612
9.9783733,105.823222,260,10587
9.9782733,105.8233056,260,10587
9.9781959,105.8233645,260,10587
9.9781526,105.8233993,260,10587
9.9781503,105.8234012,260,10587
9.978148,105.8234031,260,10587
9.9781456,105.823405,260,10587
9.9781433,105.8234068,260,10587
9.978141,105.8234087,260,10587
9.9781387,105.8234106,260,10587
9.9781363,105.8234125,260,10612
9.978134,105.8234144,260,10612
9.9781297,105.8234181,260,10612
9.9781091,105.8234378,260,10587
9.9780706,105.8234767,260,10587
9.9780203,105.8235233,260,10587
9.9779567,105.823581,260,10612
9.9778753,105.8236567,260,10612
9.9777857,105.8237409,260,10612
9.9777073,105.8238114,260,10612
9.9776608,105.8238521,260,10612
9.9776479,105.8238652,260,10612
9.9776406,105.8238727,260,10612
9.977637,105.8238765,260,10612
9.9776334,105.8238803,260,10612
9.9776297,105.8238841,260,10612
9.9776261,105.8238879,260,10612
